name,orgType,theme,themes,venue,address,lat,lng,url,description,initiatives,labels
Ngāti Toa Rangatira,Iwi & Marae,Weaving Porirua Together,"Weaving Porirua Together, How We Roll, Te Taiao, Rangatahi",Takapūwāhia Marae,"Takapūwāhia, Porirua",-41.1363,174.8405,https://www.ngatitoa.iwi.nz/,"Mana whenua of Porirua. Iwi-led kaitiakitanga of Te Awarua-o-Porirua, hosting the Porirua Assembly and Te Wāhi Tiaki Tātou kaupapa. Marae at Takapūwāhia and Hongoeka (Plimmerton).",Te Wāhi Tiaki Tātou / Porirua Assembly auspice | Marae Resilience Support programme | Rangatahi wānanga across Takapūwāhia and Hongoeka,mana whenua | kaitiakitanga | marae | Te Tiriti
Te Wāhi Tiaki Tātou,Community Group,Weaving Porirua Together,"Weaving Porirua Together, How We Roll, Know More Do More",Porirua,Porirua,-41.1355,174.8423,https://reindeer-avocado-974t.squarespace.com/,"Iwi-led community rōpū convening leaders across Porirua, running the Reimagining Hui, the Porirua Community Leaders' Forum and the Porirua Assembly. Coordinates shared priorities for collective impact.","Reimagining Hui (mental health, diabetes, dental, tāngata whaikaha) | Monthly e-Pānui | Porirua Community Leaders' Forum",iwi-led | convening | deliberative | e-pānui
Porirua Community Leaders' Forum (PCLF),Community Group,Weaving Porirua Together,"Weaving Porirua Together, How We Roll",Te Rauparaha Arena,"17 Parumoana Street, Porirua",-41.1367,174.8409,https://reindeer-avocado-974t.squarespace.com/porirua-community-leaders-forum,"Forum of Porirua's iwi, Pacific, community, migrant, business and education leaders. Hosts kaupapa groups that turn shared priorities into practical action on kai, housing and wider systems.","Kaupapa Groups (Kai, Housing) | PCLF Operating Model | Collective impact coordination",leaders forum | convening | collective impact
Porirua Assembly,Community Group,How We Roll,"How We Roll, Te Taiao, Weaving Porirua Together",Te Rauparaha Arena,"17 Parumoana Street, Porirua",-41.1366,174.8411,https://reindeer-avocado-974t.squarespace.com/porirua-assembly,"Aotearoa's first iwi-led citizens' assembly on climate. Produced six overarching recommendations after 40+ community members deliberated with mana whenua, experts and each other.",Porirua Assembly Recommendations (2025) | A Place of Firsts — public reflections | Deliberative democracy model for climate action,citizens' assembly | climate | deliberative democracy | Aotearoa first
R.O.C.C. — Resilience to Organised Crime in Communities,Community Group,Weaving Porirua Together,"Weaving Porirua Together, Rangatahi",Porirua,Porirua,-41.1392,174.8436,https://reindeer-avocado-974t.squarespace.com/rocc,"Locally-led, socially-grounded response to the harms of methamphetamine and organised crime in Porirua. Supports rangatahi and vulnerable whānau, informed by Reimagining Hui kōrero.",Harm minimisation education | Wānanga with rangatahi at risk | Data-informed Op-Eds (National Drug Intelligence Bureau),meth | organised crime | harm minimisation | whānau safety
Wesley Community Action,Community Group,Weaving Porirua Together,Weaving Porirua Together,Wesley Community Action,Porirua,-41.1395,174.8432,https://wesleyca.org.nz/,"Long-standing Porirua-based community action agency partnering on R.O.C.C. and wider whānau support. Runs financial mentoring, food support and community-led responses to harm.",R.O.C.C. delivery partner | Financial mentoring | Community food programmes,community action | financial mentoring | food support
Pātaka Kai,Community Group,Weaving Porirua Together,Weaving Porirua Together,Cannons Creek,"Cannons Creek, Porirua",-41.1478,174.8515,,"Community kai distribution — 1,428 kai packs delivered to Porirua whānau in the last half of 2025. Operates at the short-term relief end of the Community Food Security Continuum.",Weekly kai packs for whānau in need | Coordination with kai providers across Porirua,kai | food relief | Cannons Creek
Ngahere Korowai,Community Group,Te Taiao,"Te Taiao, Know More Do More",Te Awarua-o-Porirua catchment,Porirua,-41.12,174.865,,"Native afforestation kaupapa restoring ngahere across the Te Awarua-o-Porirua catchment. Works alongside schools, kura, Ngāti Toa and environmental organisations on biodiversity and climate resilience.",Community planting days | Catchment-scale native restoration | Schools + iwi collaboration,ngahere | native planting | catchment restoration
Para Kore,Community Group,How Stuff Works,"How Stuff Works, Know More Do More",Pātaka Art + Museum,"17 Parumoana Street, Porirua",-41.1363,174.8418,https://parakore.maori.nz/,"Kaupapa Māori zero-waste organisation running the 5 Rs (Refuse, Reduce, Reuse, Recycle, Responsibility) with marae, kura and communities across Aotearoa, including Porirua.",Marae and kura zero-waste audits | Community repair cafés | Mana whenua-led waste reduction education,zero waste | kaupapa Māori | 5 Rs
Autism NZ (Wellington region),Community Group,How Stuff Works,"How Stuff Works, Rangatahi",Porirua,Porirua (community venues),-41.138,174.842,https://www.autismnz.org.nz/,"Information, advocacy and support for autistic tamariki, rangatahi and whānau. Partners with Te Wāhi Tiaki Tātou on Takiwatanga Tamariki presentations.",Takiwatanga Tamariki Q&A | Whānau support groups | Educator and provider training,takiwatanga | neurodivergence | whānau support
